id,value
id_0,6.80024805724686
id_1,18.14793740470014
id_2,22.883311938165917
id_3,7.72834887233933
id_4,27.05466196142238
id_5,22.23658055178434
id_6,23.805175884239414
id_7,30.452241371805414
id_8,16.950780005214845
id_9,59.710717568780424
id_10,11.629599578673108
id_11,9.374211157203272
id_12,63.65442179476877
id_13,53.23107434240929
id_14,22.197198719159108
id_15,12.129452567041563
id_16,32.58881342307961
id_17,66.56819724060261
id_18,-0.29879562097302975
id_19,17.19547787265372
id_20,41.615248095830516
id_21,72.09416386162466
id_22,9.434954593997332
id_23,17.62626087166799
id_24,14.755670111559647
id_25,37.520581771157936
id_26,14.686040123439422
id_27,69.97187362706165
id_28,7.294780099701982
id_29,55.448695670231324
id_30,24.380764535079027
id_31,8.462877953160652
id_32,2.5104003277797102
id_33,18.789423375218444
id_34,27.801696557544616
id_35,37.30307679732742
id_36,43.33645688776878
id_37,29.82544205804948
id_38,42.10847990999405
id_39,35.185930030860206
id_40,7.754728332928503
id_41,41.33035649621472
id_42,30.600070415428796
id_43,50.96823372021185
id_44,17.51023715100326
id_45,35.37225637411349
id_46,24.63052384106882
id_47,9.606014711420997
id_48,26.79075945845088
id_49,32.237519415225684
id_50,20.109589363350366
id_51,7.958729290568089
id_52,20.514891786870937
id_53,52.70574685607604
id_54,15.862497949308239
id_55,36.64407341045898
id_56,32.77413598753191
id_57,20.70360118440234
id_58,57.38098407615615
id_59,22.674035639498523
id_60,14.346889139985567
id_61,41.8829153223182
id_62,12.554980615990232
id_63,48.44410320401571
id_64,14.345520272441306
id_65,15.103461563602112
id_66,14.497168352016876
id_67,-0.8614799478888508
id_68,43.80117632159632
id_69,29.061611079986548
id_70,20.0099483198195
id_71,41.838864609410045
id_72,60.80037844868951
id_73,5.345209404970123
id_74,16.416536897327813
id_75,3.52725687878004
id_76,40.77258269919454
id_77,13.97187716177007
id_78,21.544681785189333
id_79,21.07688677006205
id_80,23.9989053929646
id_81,36.07638341112875
id_82,21.67986271928196
id_83,92.3883912915059
id_84,37.255333516038505
id_85,27.96318761716742
id_86,21.9350005626704
id_87,33.80521585621539
id_88,23.445496593479284
id_89,19.853867747586058
id_90,28.787968502191017
id_91,41.485320915461465
id_92,4.7185537399611395
id_93,38.933926474627945
id_94,45.94699094547445
id_95,16.38747551539076
id_96,31.690466148875878
id_97,13.066772700696903
id_98,23.50056224831652
id_99,4.635289950531145
id_100,18.183082974473006
id_101,26.35611209035712
id_102,14.102761617864648
id_103,15.884125287783206
id_104,23.94939777964321
id_105,39.66713990377661
id_106,31.49483986951496
id_107,6.34041837805177
id_108,6.002737672699723
id_109,78.35545358533948
id_110,48.139031294396645
id_111,17.07860901652905
id_112,27.801416615354036
id_113,15.2117209956506
id_114,13.556425906273077
id_115,25.007677840209524
id_116,26.652733773959405
id_117,10.443398845138214
id_118,17.53781460196017
id_119,19.44251586102478
id_120,80.70483365525381
id_121,25.70932037561824
id_122,37.38139235054259
id_123,25.314557234338697
id_124,7.368776905436303
id_125,38.421637141212464
id_126,8.994486103046395
id_127,22.02524162729821
id_128,29.068158611221172
id_129,62.80780904957037
id_130,21.718651596594565
id_131,23.16230589667672
id_132,59.2392325826613
id_133,15.140536347636084
id_134,14.16640953507768
id_135,2.710933601333897
id_136,12.4435617517823
id_137,58.6675200829673
id_138,20.47822209599559
id_139,5.393678387732519
id_140,29.056757760029477
id_141,25.304166340129537
id_142,45.31023267457668
id_143,30.822679283370576
id_144,18.280943145063844
id_145,26.05351569563569
id_146,12.106974595543132
id_147,52.01094119610024
id_148,23.767764414141425
id_149,38.41363372838922
id_150,10.290678038289562
id_151,8.1255603850084
id_152,23.581023264642894
id_153,6.330707863146735
id_154,15.225804076944911
id_155,41.29821971764271
id_156,7.847482501683048
id_157,36.21738609715356
id_158,11.013110475196582
id_159,18.617620592632367
id_160,41.518374177343944
id_161,19.384490345612065
id_162,13.215199866862632
id_163,7.979129758114021
id_164,52.619426584957736
id_165,31.066204106925355
id_166,-0.2997520914576861
id_167,16.44721110513855
id_168,63.69152246286014
id_169,14.356637081594153
id_170,63.65493047773733
id_171,39.4454704438281
id_172,26.80637375521688
id_173,20.44591844567361
id_174,60.726364095738916
id_175,25.226783850011152
id_176,20.95925900686248
id_177,37.459828245872785
id_178,12.558391154842313
id_179,31.14962228017104
id_180,16.585424233698784
id_181,11.882990986108048
id_182,55.64218872818969
id_183,46.42556792267553
id_184,15.459585738012011
id_185,35.147278066746125
id_186,26.14331185040578
id_187,68.94621337608349
id_188,9.982457854016651
id_189,57.870099966315394
id_190,38.49300261370184
id_191,15.550295666181945
id_192,29.06334847407329
id_193,0.37867508701283015
id_194,19.086635714729603
id_195,0.9133486452134671
id_196,33.74298322511463
id_197,10.530717611321194
id_198,18.990036590913263
id_199,60.20948951891059
id_200,24.884810213002947
id_201,25.72887079224522
id_202,64.44782903198956
id_203,10.603883699210327
id_204,9.41220891207589
id_205,11.214901572384688
id_206,7.342362325179996
id_207,1.7576138162866404
id_208,123.94689900108686
id_209,20.644151367287684
id_210,16.223470976014195
id_211,13.94052416748902
id_212,36.274161549907916
id_213,36.00594864933506
id_214,18.825312422631733
id_215,34.764433199704534
id_216,78.74572022825977
id_217,0.42008766468932485
id_218,12.91686008483234
id_219,31.97709434718549
id_220,14.970029300715957
id_221,12.618336923716454
id_222,113.26494048871935
id_223,12.938643075299053
id_224,16.275587500454137
id_225,64.0395484406166
id_226,16.123284015170796
id_227,20.22096213564477
id_228,10.384163407491231
id_229,4.020084264899587
id_230,46.174902234507435
id_231,12.696049356711578
id_232,53.9530533738644
id_233,42.65403754123672
id_234,25.039945577442918
id_235,41.05561084447425
id_236,69.14185101601569
id_237,42.11403746062944
id_238,11.015129684306892
id_239,18.207492554179595
